,quyu,home_num,size,chaoxiang,jianzao,tags,city
401,1,3,56.9,0,1987.0,1,0
402,0,1,49.1,5,2004.0,1,0
403,1,2,48.0,1,2004.0,1,0
404,1,4,127.4,6,2008.0,1,0
405,0,3,125.3,0,2000.0,1,0
406,0,4,175.1,5,2006.0,1,0
407,2,3,87.5,1,2016.0,1,0
408,0,3,99.8,0,1998.0,1,0
409,0,6,69.8,0,1983.0,1,0
410,4,3,129.7,0,2010.0,1,0
411,0,2,55.0,0,1985.0,1,0
412,0,2,51.0,0,1985.0,1,0
413,1,3,116.1,0,2006.0,1,0
414,1,4,118.3,0,2011.0,1,0
415,4,2,90.1,0,2009.0,1,0
416,5,3,89.9,0,2000.0,1,0
417,0,4,105.3,0,2002.0,1,0
418,2,3,88.8,0,2016.0,0,0
419,5,3,111.1,2,2016.0,0,0
420,0,2,41.5,0,1999.0,1,0
421,0,5,175.0,1,2006.0,1,0
422,2,3,97.7,0,2012.0,1,0
423,2,2,89.1,0,2016.0,1,0
424,4,3,125.7,0,2013.0,1,0
425,4,2,89.3,0,2009.0,1,0
426,4,4,115.2,0,2017.0,1,0
427,4,3,134.5,3,2012.0,1,0
428,1,4,129.3,1,2000.0,1,0
429,1,6,123.5,0,2008.0,1,0
430,0,2,43.5,1,2000.0,1,0
431,3,3,94.1,1,2019.0,0,0
432,0,2,51.0,0,1990.0,0,0
433,0,3,111.6,1,2004.0,1,0
434,0,4,155.9,3,2009.0,1,0
435,1,3,110.5,3,2003.0,1,0
436,2,3,128.0,0,2014.0,1,0
437,2,3,116.1,0,2015.0,1,0
438,3,2,85.2,8,2009.0,0,0
439,0,5,206.0,0,2010.0,1,0
440,0,1,45.3,0,2012.0,1,0
441,4,3,122.6,0,2009.0,1,0
442,2,3,125.1,0,2018.0,1,0
443,2,3,104.1,1,2020.0,1,0
444,2,3,91.5,0,2016.0,0,0
445,2,3,97.7,0,2010.0,1,0
446,2,4,126.8,1,2011.0,1,0
447,2,3,113.9,0,1999.0,0,0
448,2,3,97.6,0,2014.0,0,0
449,4,2,96.4,1,2011.0,1,0
450,2,2,91.0,1,2014.0,1,0
451,2,4,126.3,0,2015.0,1,0
452,2,3,88.2,0,2017.0,1,0
453,0,3,147.3,0,2007.0,0,0
454,0,6,212.0,0,1992.0,1,0
455,4,3,121.4,3,2009.0,1,0
456,4,4,120.8,0,2010.0,1,0
457,4,3,135.5,0,2012.0,1,0
458,2,3,89.0,1,2013.0,0,0
459,4,3,88.5,0,2018.0,1,0
460,0,4,188.2,4,2008.0,0,0
461,2,3,122.8,1,2016.0,1,0
462,2,2,84.7,1,2014.0,0,0
463,1,2,46.0,8,2002.0,1,0
464,2,3,126.6,0,2016.0,1,0
465,2,4,123.0,0,2014.0,0,0
466,1,4,255.4,0,2013.0,1,0
467,0,4,149.7,3,2006.0,1,0
468,0,2,50.9,1,2001.0,1,0
469,2,2,67.1,0,2013.0,1,0
470,2,3,88.6,0,2000.0,1,0
471,2,3,124.0,0,2010.0,1,0
