标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
满二年 南北向 三室二厅 高端装修 文灶,478.0,48568,文屏山庄(一期),思明,3,98.4,南北,2000,"['南北', '近地铁']"
（建发品质）禾祥西|汇禾新城|电梯高层|明厨明卫|位置安静,660.0,82223,汇禾新城,思明,2,80.3,东南,2000,"['东南', '有电梯', '近地铁', '多人关注']"
思明莲前西路 金鸡亭西里 2房2厅1卫1阳,320.0,42588,金鸡亭花园小区,思明,2,75.1,西南,1997,"['西南', '满五年', '近地铁']"
翔鹭花城二期 自住三房 南北朝向 满五省税费 厅带阳台,356.0,44417,翔鹭花城(二期),湖里,3,80.2,南北,2006,"['南北', '唯一住房', '近地铁']"
力荐好房，江头台湾街，电梯高楼层大三房，东南双阳台，明厨明卫,608.0,45718,亿星大厦,湖里,3,133,东南,2004,"['东南', '满五年', '近地铁']"
满五年 东北向 三室二厅 简单装修 会展中心,549.0,55816,明发国际新城,思明,3,98.4,东北,2002,"['东北', '有电梯', '近地铁']"
火车站旁边 十佳花园小区 南北通透三房 一楼等于二楼楼下车库,646.0,69530,东坪山庄,思明,3,92.9,南北,2005,"['南北', '满二年', '近地铁']"
04年，安泰花园，中间楼层，南北通透厅带阳台朝南，业主,368.0,43097,安泰花园,湖里,3,85.4,南北,2003,"['南北', '满五年', '近地铁']"
江头 公园旁 电梯 朝南 简单装修 2室 桃源大厦,436.0,51831,桃源大厦,湖里,2,84.1,南,2003,"['南', '满二年', '近地铁']"
文灶03年小区3房，总价低,420.0,50000,文屏山庄(二期),思明,3,84,南北,2003,"['南北', '近地铁']"
思明 金鸡亭东里 精装2房 格局方正 采光好,326.0,44658,金鸡亭花园小区,思明,2,73,南,1994,"['南', '满五年', '近地铁']"
单价4万康乐新村框架105平 全明3房格局,436.0,41457,康乐新村一期,湖里,3,105.2,南北,1995,"['南北', '满五年', '近地铁']"
2室2厅 满五 住房 精装修 南北通透 美新广场 楼层好,598.0,69584,美新广场,思明,2,85.9,南北,2004,"['南北', '满五年', '近地铁']"
绿家园业主自住全新装修未入住 家电家具 全明格局,768.0,88582,绿家园,思明,3,86.7,西南,2003,"['西南', '满二年', '近地铁', '绿化率高']"
急售 好谈 电梯朝南户型.大阳台.建发品质生活 看房方便,505.0,59482,时尚国际,思明,3,84.9,南,2000,"['南', '满五年', '近地铁']"
04年花园社区 万寿新城，精装三房，商品房，交通便利,535.0,71726,万寿新城,思明,3,74.6,南,2004,"['南', '满二年', '近地铁', '车位充足']"
带独立大露台！低于评估价（三面采光 精装大3房）火车站地段,488.0,47379,梧村街道办宿舍,思明,3,103,南北,2001,"['南北', '满五年', '近地铁']"
小区采光无遮挡的位置 有多建一个5平未使用的面积,536.0,62088,电业花园,思明,2,86.3,南,1998,"['南', '满五年', '近地铁']"
莲花龙盛花园 精装3房 双阳台 厅带阳台朝南 好楼层,529.0,60114,龙盛花园,思明,3,88,南,1996,"['南', '满二年', '近地铁']"
盈翠里小区里面 楼层 目前空置有钥匙 看房方便,550.0,62500,盈翠里12-40号小区,思明,3,88,南北,1988,"['南北', '满五年', '近地铁']"
明厨明卫，有锁，看房方便,398.0,45622,金鸡亭花园小区,思明,2,87.2,东北,1998,"['东北', '满二年', '近地铁']"
火车站17年新盘新装修朝南3房，拿屠龙刀砍,898.0,72813,罗宾森璀璨新城(二期),思明,3,123.3,南北,2017,"['南北', '有电梯', '近地铁', '车位充足']"
省优滨东，地铁换乘站，万象城旁，电梯3房，南北通透，精装,595.0,69187,九州宿舍(禾祥东路),思明,3,86,南北,1995,"['南北', '满五年', '近地铁']"
朝南向阳，满满的阳光，全新精装，拎包入住，05年封闭花园小区,428.0,66337,翡翠城,思明,3,64.5,南,2006,"['南', '满五年', '近地铁']"
吕厝双地铁口，07年电梯小区冠宏花园 精装修两房 出售,468.0,59490,冠宏花园,湖里,2,78.7,北,2018,"['北', '满五年', '近地铁', '次新房']"
莲前西路金磊花园3房出售（厅带阳台朝南）,498.0,54072,金磊花园,思明,3,92.1,南北,2000,"['南北', '满五年', '配套成熟']"
满五年 东南向 二室二厅 简单装修 莲花,636.0,73180,鹭江新城(四期),思明,2,86.9,东南,2003,"['东南', '有电梯', '近地铁']"
梅园小区！顶楼带天台！两房朝南！南北通透！,380.0,55982,梅园小区,思明,2,67.9,南北,1997,"['南北', '近地铁', '车位充足']"
台湾街05年小区，私人露台 出价就卖，明发豪庭，电梯西南,598.0,50337,明发豪庭,湖里,4,118.8,南北,2005,"['南北', '满五年', '近地铁']"
筼筜湖畔必看好房松柏小空位即 全明大两房可改三满五年,455.0,61396,育秀里,思明,2,74.1,南北,1998,"['南北', '近地铁']"
凌香里 前后无遮挡 厦航品质 一梯两户 南北3房 居家户型,688.0,54896,凌香里23-44号小区,思明,3,125.3,南北,1991,"['南北', '满五年', '近地铁']"
思明莲前 金鸡亭 东里 2房2厅1卫2阳,358.0,51143,金鸡亭花园小区,思明,2,70,东南,1996,"['东南', '满五年', '近地铁']"
蓉芳里正规三房，客厅带阳台，产权面积93.84平,556.0,67640,蓉芳里小区,思明,3,82.2,南北,1998,"['南北', '满五年', '近地铁']"
莲花一村盈翠里 南北通透 3室2厅 好房诚意出售,545.0,64065,盈翠里12-40号小区,思明,3,85.1,南北,1988,"['南北', '满五年', '近地铁']"
金枫园 63平 南北通透 满五 采光好 周边商圈成熟,350.0,54954,金枫园,思明,2,63.7,南北,2002,"['南北', '满五年', '近地铁']"
双阳台 正规3房2厅 东南朝向 高层精装修 管家式服务,730.0,66612,海峡国际天璟,思明,3,109.6,东南,2018,"['东南', '满五年', '近地铁', '绿化率高']"
满二 南北通透 3室2厅 精装修 居家自住 保养好,500.0,51504,中交和美新城(公寓住宅),集美,3,97.1,南北,2015,"['南北', '满二年', '近地铁', '车位充足']"
禾祥东万象城旁 电梯花园封闭小区两房 BRT双地铁沿线 朝南,507.0,74702,源昌广场,思明,3,67.9,南北,2003,"['南北', '满二年', '近地铁', '车位充足']"
电梯沿湖一线 位置 南北通透双阳台 另送10平,888.0,68319,永升花园,思明,3,130,东西,2000,"['东西', '满五年', '近地铁']"
金尚小区 边套3房 厅带阳台朝南 楼层 南北通透 中装,472.0,52480,金尚小区,湖里,3,89.9,南北,2000,"['南北', '满五年', '近地铁']"
精装婚房，电梯高层，南2房，地铁换乘站，万象城旁,446.0,57923,金祥大厦,思明,2,77,南北,2000,"['南北', '满五年', '近地铁']"
电梯高层！3房！精装修！采光好！户型房正！毗邻地铁，公园！,376.0,48832,建邦大厦,湖里,3,77,南北,2000,"['南北', '满五年', '近地铁', '车位充足']"
好房 公园小四大豪宅 06年次新小区 豪装4房 看房提前,1150.0,88272,佳韵园(一期),思明,4,130.3,南北,2005,"['南北', '满二年', '近地铁', '车位充足']"
火车站 复式楼中楼 买一层赠一层 动静分离 精装修朝南三房,379.0,83962,官邸大厦,思明,3,45.1,南北,2006,"['南北', '满二年', '近地铁']"
滨北 仙岳路 万禾春天 岳阳小区2房2厅可做3房 有带露台,440.0,53327,岳阳小区,思明,2,82.5,南北,1996,"['南北', '满五年', '近地铁']"
省优槟榔，带车位，改造区通透3房 朝南2楼 满五年诚意出售,475.0,71429,槟榔东里(单号区),思明,3,66.5,南北,1988,"['南北', '满五年', '近地铁']"
东浦花园售价575万,575.0,60527,东浦花园,思明,3,95,东,2000,"['东', '满二年', '近地铁']"
滨北 建兴小区 楼层 居家2房 南北通透,415.0,79747,建兴小区,思明,2,52,南北,1985,"['南北', '满二年', '近地铁', '绿化率高']"
滨北市政旁电梯3房，低总价！滨北小，派外国语，二号地铁口！,568.0,60189,中信惠扬公寓楼,思明,3,94.4,西北,2002,"['西北', '满二年', '近地铁', '车位充足']"
05年电梯 精装修 3室2厅 好楼层 格局采光棒 拧包入住,450.0,51131,恒丰花园(二期),湖里,3,88,南北,2000,"['南北', '近地铁']"
龙山 精装三房 业主自住 稳定出售 南北通透 拎包入住,568.0,58132,龙山山庄(一期),思明,3,97.7,南北,1997,"['南北', '满五年', '近地铁']"
豪的象征！ 精装！ 莲花信和御园 高端三房 拎包入住,938.0,96117,御园,思明,3,97.6,南北,2009,"['南北', '满五年', '近地铁', '车位充足']"
状元学府精装电梯高层大三房,628.0,68284,金榜大厦,思明,3,92,南北,2000,"['南北', '满五年', '近地铁', '车位充足']"
3房2厅 豪装朝南 拎包入住 采光视野佳 火车站,760.0,70021,海峡国际天璟,思明,3,108.5,东南,2019,"['东南', '满二年', '近地铁', '绿化率高']"
南北通透 高层边套 一手毛坯房,500.0,50506,中交和美新城(公寓住宅),集美,3,99,南北,2020,"['南北', '满二年', '近地铁', '车位充足']"
满二年 东西向 三室二厅 高端装修 东浦,580.0,64018,东坪山庄,思明,3,90.6,东西,2004,"['东西', '有电梯', '近地铁']"
嘉禾花园2居 企业力荐好房诚意出售,430.0,69355,嘉禾花园,思明,2,62,南北,1988,"['南北', '近地铁']"
南山公寓电梯大两房户型方正2房2厅出售,468.0,50323,南山公寓(东区),湖里,2,93,南北,1998,"['南北', '满五年', '近地铁', '车位充足']"
满五 南北通透 中庭 客厅带阳台 康乐一小旁儿童医院,420.0,43801,万景花园,湖里,2,95.9,南北,1998,"['南北', '满五年', '近地铁']"
正中庭 一梯两户 电梯高层 南北正规大三房 诚意出售,483.0,44723,翔鹭花城(二期),湖里,3,108,南,2000,"['南', '满二年', '近地铁']"
本人房东亲戚 南北通透可以改3房找我服务实惠,435.0,58928,源盛花园,思明,2,73.8,南北,1999,"['南北', '满五年', '近地铁']"
中信惠扬 3室1厅 朝北看狐尾山,638.0,67607,中信惠扬公寓楼,思明,3,94.4,南北,2001,"['南北', '满五年', '近地铁', '车位充足']"
福园公寓 东南 看公园全景 产权满了5年 460万,460.0,54252,福园公寓,湖里,2,84.8,南北,2006,"['南北', '满五年', '近地铁']"
公园 95年框架房 南北双阳台通透户型,660.0,60000,豆仔苑,思明,3,110,南北,1995,"['南北', '满五年', '近地铁', '多人关注']"
双阳台 3房2厅 采光户型好 豪装拎包入住 看房方便,745.0,67981,海峡国际天璟,思明,3,109.6,东南,2019,"['东南', '满二年', '近地铁', '绿化率高']"
盈翠里正规三房！很划算的，小区中庭，南北通透！,588.0,65334,盈翠里12-40号小区,思明,3,90,南北,1986,"['南北', '满二年', '近地铁']"
水晶国际 鑫塔旁小户型 近地铁2号生活方便,458.0,56377,水晶国际,思明,3,81.2,南北,2013,"['南北', '满五年', '近地铁']"
滨北 福达里 万禾春天 仙岳大厦居家大2房2厅诚售 采光好,466.0,54516,仙岳大厦,思明,2,85.5,西南,2008,"['西南', '满五年', '近地铁']"
满五 南北通透 康乐一小 中层 价格空大 地铁公园旁,378.0,52174,康乐新村二期,湖里,2,72.5,南北,1995,"['南北', '满五年', '近地铁']"
松柏旁 高层两房 可拎包入住 适合居家 楼下地铁口,350.0,63098,摩登时代大厦,思明,2,55.5,西,2018,"['西', '满五年', '近地铁', '次新房']"
禾祥西2003年花园小区精装大2房可改三房重要是全朝南,450.0,70105,万禾花园,思明,2,64.2,西北,2002,"['西北', '近地铁', '车位充足']"
滨北 仙岳路 万禾春天 岳阳西里 居家3房出售 中层,439.0,56003,岳阳西里,思明,3,78.4,南北,1996,"['南北', '满五年', '近地铁']"
康乐一小，正规两房住家温馨装修可拎包入住，中间楼层看房方便,316.0,51441,台北新村,湖里,2,61.4,南,2000,"['南', '满二年', '近地铁', '车位充足']"
莲前西路 BRT金鸡亭 正规大两房 户型好 住家装修,339.0,47084,金鸡亭花园小区,思明,2,72,南北,1997,"['南北', '满五年', '近地铁']"
单价少 万象城旁 梧村精装2房 封闭小区 电梯高层 业主急售,313.0,58703,罗宾森璀璨新城(二期),思明,2,53.3,西,2016,"['西', '满五年', '近地铁', '车位充足']"
厦大博物馆 厦港侨中 南北2房96年框架 可改三,470.0,64217,厦港新村32号之2-7小区,思明,2,73.2,南北,1996,"['南北', '满五年', '近地铁']"
江头地铁口 中医院新景华府旁温莎公馆精装小三房 国企品质,535.0,66337,筼筜温莎公馆,湖里,3,80.7,南,2015,"['南', '满五年', '近地铁']"
满五年 西北向 二室二厅 精装修,423.0,50885,文屏山庄(二期),思明,2,83.1,西北,2003,"['西北', '近地铁']"
新出省税 金鸡亭西里 一梯两户 南北双阳台 自住装修可拎包,358.0,47487,金鸡亭花园小区,思明,2,75.4,南北,1997,"['南北', '满五年', '近地铁']"
09年电梯房 森海丽景 天然氧吧 靠山安静 三房 朝南,520.0,51293,森海丽景,思明,3,101.4,南北,2008,"['南北', '满五年', '近地铁']"
禾祥东稀售好房 通透无遮挡 电梯高层 采光好 格局佳双阳台,413.0,76938,千禧园,思明,2,53.7,南北,2006,"['南北', '满五年', '近地铁']"
满五年 南北向 二室一厅 简单装修,438.0,70114,禾祥西广电宿舍,思明,2,62.5,南北,1989,"['南北', '近地铁']"
亏本出售急卖 梧村 旁 精装3房 总价低,378.0,66316,金榜铁路家园,思明,3,57,南北,2000,"['南北', '满二年', '近地铁']"
劲爆！单价6.88万丨万寿新城，通透小3房，楼层好，即约即看,530.0,71855,万寿新城,思明,3,73.8,南北,2004,"['南北', '满五年', '近地铁', '车位充足']"
业主直售，中间楼层，松柏二小，低总价，全明三房，屿后南里,468.0,66800,屿后南里423-449号小区,思明,3,70.1,南北,2000,"['南北', '满二年', '近地铁', '车位充足']"
美仁新村北区 3室1厅 东南,490.0,69484,美仁新村(北区),思明,2,70.5,南,1986,"['南', '满二年', '近地铁']"
五中 莲前西路低总价！全明朝南大2房，好改3房，税费省,472.0,58743,龙山山庄(一期),思明,2,80.4,东南,1997,"['东南', '满五年', '近地铁']"
04年南北通透 双地铁口 精装中层3室2厅 企业力荐诚售,473.0,49323,世纪嘉园(西区),湖里,3,95.9,南北,2000,"['南北', '满二年', '近地铁', '车位充足']"
槟榔，5.7万每平，首付90万就够，低于均价5千每平，无个税,425.0,59292,槟榔花园,思明,2,71.7,南北,1991,"['南北', '满五年', '近地铁', '多人关注']"
海峡国际天璟2居地铁电梯,730.0,80486,海峡国际天璟,思明,2,90.7,南,2015,"['南', '满二年', '近地铁', '绿化率高']"
新上，前埔南区，古兴里，电梯小三房，朝东南，三面采光，有锁,465.0,57923,古兴里,思明,3,80.3,东南,2001,"['东南', '满五年', '配套成熟']"
长青路430431号小区 满五 电梯房 68平 精装修 南,418.0,61471,长青路430-431号小区,思明,2,68,南北,2002,"['南北', '满五年', '近地铁']"
文园公寓2居地铁电梯,589.0,70930,文园公寓,思明,2,83,南,1998,"['南', '满二年', '近地铁']"
满五 住房 2室2厅 南北通透 92平 诚心出售 价格可议,570.0,61562,莲花广场,思明,2,92.6,南北,2004,"['南北', '满五年', '近地铁']"
南北通透 2室1厅 金鸡亭花园小区 满五 住房 房东急置换,325.0,42860,金鸡亭花园小区,思明,2,75.8,南北,1996,"['南北', '满五年', '近地铁']"
急售，底价找我丨正规三房，前后看中庭丨中央湾区珊瑚海,1150.0,93717,中央湾区珊瑚海,湖里,3,122.7,南北,2014,"['南北', '满五年', '近地铁']"
思明莲前西路 怡富花园 2房2厅1卫2阳,428.0,52291,怡富花园(东区),思明,2,81.9,南北,2001,"['南北', '满五年', '近地铁']"
新出禾祥东2房 电梯高层 格局佳景观好 近BRT地铁,580.0,66476,美新广场,思明,2,87.3,南北,2008,"['南北', '满二年', '近地铁']"
刚需置换豪装朝南 500来万买火车站电梯3房 省优人民,556.0,54650,银河大厦,思明,3,101.7,东南,2003,"['东南', '满五年', '近地铁']"
地铁口莲坂商圈富兴大厦，2房2厅，精装，一口价。,478.0,52269,富兴大厦,思明,2,91.5,西南,2004,"['西南', '满二年', '近地铁', '车位充足']"
西堤 (公寓住宅) 137平 满五 南北通透 楼层好 视野,1100.0,80059,西堤别墅(公寓住宅),思明,3,137.4,南北,1992,"['南北', '满五年', '近地铁']"
新莲岳里，小区改造收尾中，步梯二楼，南北西全明户型方正,468.0,66214,莲岳里小区,思明,2,70.7,南北,1994,"['南北', '满二年', '近地铁']"
海峡天璟旁 电梯高层 精装三房 省个税 地铁口 动车站省优,388.0,47902,银河大厦,思明,3,81,南北,2005,"['南北', '满五年', '近地铁']"
简单装修 电梯房 3室2厅 85平 城市花园 楼层好 视野无,699.0,73719,城市花园,思明,3,94.8,南北,2002,"['南北', '满五年', '近地铁']"
大正大厦 3室1厅 东南,650.0,78437,大正大厦,思明,3,82.9,东南,2001,"['东南', '有电梯', '近地铁', '车位充足']"
厦门 莲花中学 磐基地铁口 莲花好地段豪装3房全明,568.0,76222,涵光路10-16号小区,思明,3,74.5,南北,2000,"['南北', '满五年', '近地铁', '绿化率高']"
莲花 和光里南区 3楼 2房 周边交通 教育 购物 配套齐全,426.0,54020,和光里小区,思明,2,78.9,南北,1989,"['南北', '满二年', '近地铁']"
2室2厅1卫 88.0平米,545.0,61932,美新广场,思明,2,88,北,2000,"['北', '满五年', '近地铁']"
393万精装两房 高层所以采光好 价格可谈,379.0,55752,侨建花园(东区),思明,2,68,南,1997,"['南', '近地铁']"
思明 莲花五村 通士达 好楼层 总价低 南北,468.0,55715,通士达小区,思明,2,84,东南,2000,"['东南', '满五年', '近地铁', '绿化率高']"
BRT金鸡亭西里 采光好 新装修 拎包入住 满五,318.0,41640,金鸡亭花园小区,思明,2,76.4,西南,1997,"['西南', '满五年', '近地铁']"
零公摊三房 东渡 旁 南北通透双阳台 楼层,409.0,48691,东苑邨,湖里,3,84,南北,1991,"['南北', '满五年', '近地铁', '车位充足']"
置换诚心出售 坑内路 南北通透 正规大2房可改房 中间楼层,565.0,70625,坑内路3-36号小区,思明,2,80,南北,1999,"['南北', '满二年', '近地铁']"
莲花海关宿舍 低楼层 大2房2厅 轻松改3房2卫 满五,505.0,56780,香秀里1-56号小区,思明,2,88.9,南北,1993,"['南北', '满五年', '近地铁']"
安平里，带小院子和车位，3房 ，改造区槟榔西里,440.0,70400,槟榔西里单号区,思明,3,62.5,南北,1989,"['南北', '满五年', '近地铁']"
捡漏价！高层视野（南北通透 品质大4房）万象城 地铁口旁,928.0,68828,大洲城市花园,思明,4,134.8,南北,2000,"['南北', '满五年', '近地铁', '车位充足']"
满二年 西南向 二室一厅 精装修,348.0,68263,湖北大厦,思明,2,51,西南,2004,"['西南', '有电梯', '近地铁']"
莲前西路华林品质小区 一梯两户 南北通透 采光好,463.0,54350,金磊花园,思明,2,85.2,南北,2002,"['南北', '满五年', '配套成熟']"
电梯房 楼层佳 三面采光 两房好做三房 康乐一小 湖里中学,428.0,47278,康乐新村二期,湖里,2,90.5,南北,1996,"['南北', '满二年', '近地铁']"
捡漏 名！禾祥西路标准3房 美湖花园 南北 送储藏间,480.0,48310,美湖花园,思明,3,99.4,南北,1990,"['南北', '满二年', '近地铁']"
鸿山大厦后房源采光好，南北通透，业主诚意出售,568.0,63621,金色梦想小区,思明,3,89.3,西南,1986,"['西南', '满二年', '近地铁']"
小户型！美仁北低总价 朝南两房 中楼层 户型,442.0,68147,美仁新村(北区),思明,2,64.9,南北,1992,"['南北', '满二年', '近地铁']"
火车站 金榜公园旁 花园小区 超赞3房 南北通透 450万,450.0,51559,文屏山庄(一期),思明,3,87.3,南北,2000,"['南北', '近地铁']"
满二年 南北向 二室二厅 精装修 文灶,388.0,53028,文屏山庄(一期),思明,2,73.2,南北,2003,"['南北', '近地铁']"
思北BRT 沿线 大同小旁 南北通透 3房，双阳台,1098.0,79658,源昌国际城(二期),思明,3,137.8,南北,2007,"['南北', '满五年', '近地铁']"
特房开发 精装3房 南北通透 湖里万达商场旁,395.0,43724,长乐村一期,湖里,3,90.3,南,2000,"['南', '满五年', '近地铁', '车位充足']"
松柏电梯中高层 三房自住精装修 拎包入住,565.0,64118,心悦园,思明,3,88.1,西,2000,"['西', '满五年', '近地铁', '车位充足']"
城立方 复式楼中楼 高层 满五 落地景观 2012建成,538.0,89622,城立方,思明,2,60,南,2011,"['南', '满五年', '近地铁', '车位充足']"
国贸边套好户型，电梯高层，可看景观，可做四房，随时看,858.0,68031,国贸广场,思明,3,126.1,东南,2003,"['东南', '有电梯', '近地铁', '绿化率高']"
地铁口 刚需好房 吕岭花园 中间楼层 精装 全明户型,336.0,49653,吕岭花园,湖里,2,67.7,南北,2000,"['南北', '满二年', '近地铁']"
槟榔全湖景3房，6.6万每平急卖，降价50万出价就谈，急卖中,496.0,65905,南湖新村,思明,3,75.3,南北,1993,"['南北', '满五年', '近地铁', '车位充足']"
3室2厅 精装修 森海丽景499 南北通透 居家自住,499.0,49202,森海丽景,思明,3,101.4,南北,2009,"['南北', '满二年', '近地铁', '多人关注']"
新出！南北通透！禾祥西！万禾花园！低公摊！省个税！,462.0,70107,万禾花园,思明,2,65.9,南北,2003,"['南北', '近地铁', '车位充足']"
海峡国际天璟 158平 精装修 满五 诚心出售 价格可议,1050.0,66406,海峡国际天璟,思明,3,158.1,南,2000,"['南', '满五年', '近地铁', '绿化率高']"
康乐一小 湖里中学 社区 精装2房 南北通透 全明户型,465.0,52781,博士山庄(公寓住宅),湖里,2,88.1,南,2000,"['南', '满五年', '近地铁', '绿化率高']"
禾祥西花园小区，赠送大露台，大客厅,620.0,64483,金丰花园,思明,3,96.2,东北,2000,"['东北', '有电梯', '近地铁']"
思明莲花 十年才出一套送露台高性价比和光里南北通透三面采光,520.0,62060,和光里小区,思明,2,83.8,南北,1992,"['南北', '满五年', '近地铁']"
满二年 南北向 二室一厅 简单装修,478.0,75181,育秀里,思明,2,63.6,南北,1996,"['南北', '近地铁']"
S.M商圈 双地铁口 带大阳台 朝南三房 兴隆 校 急售,440.0,46122,现代家园,湖里,3,95.4,南北,2000,"['南北', '满五年', '近地铁', '车位充足']"
禾祥西路斗西路故宫路十一中旁3房出售,580.0,64445,毕升宿舍,思明,3,90,南北,1991,"['南北', '满五年', '近地铁']"
侨福城，3房2厅，厅带阳台，一梯两户南北通透，商品房看房方便,475.0,50694,侨福城小区(一期),思明,3,93.7,南北,2000,"['南北', '满五年', '近地铁']"
槟榔东里 标准3室1厅 居家自住 保养好,470.0,72353,槟榔东里(单号区),思明,3,65,南北,1984,"['南北', '满二年', '近地铁']"
朝南满满的阳光，外国语附小，精装3房，文灶地铁口，满五,598.0,62292,城市花园,思明,3,96,南,2002,"['南', '满五年', '近地铁']"
一中旁，实二小，将军祠地铁口 花园小区万寿新城 南北三房,560.0,76713,万寿新城,思明,3,73,南北,2005,"['南北', '满五年', '近地铁', '车位充足']"
滨北市政府旁 三房出售 世纪海湾 高层看山 厅带阳台 公摊小,728.0,73633,禹洲世纪海湾,思明,3,98.9,北,2008,"['北', '满二年', '近地铁']"
康乐一小正规三房 朝南 房东急置换 诚意买房,359.0,42943,康乐新村一期,湖里,3,83.6,南,1996,"['南', '有电梯', '近地铁']"
地铁口，中心 湖里中学，50平精装两房，拎包入住，急售,256.0,51355,煤炭宿舍,湖里,2,49.9,南北,2000,"['南北', '近地铁', '多人关注']"
相信独具慧眼的您会买就会，一套超,618.0,63791,故宫新城,思明,3,96.9,南北,1993,"['南北', '满二年', '近地铁', '车位充足']"
满二年 南北向 二室二厅 精装修 东浦,345.0,48847,瓷厂宿舍,思明,2,70.6,南北,1996,"['南北', '近地铁']"
满二 电梯房 1室1厅 53平 精装修 价格历史创新低,330.0,62031,罗宾森璀璨新城(二期),思明,1,53.2,东,2015,"['东', '满二年', '近地铁', '车位充足']"
槟榔花园 两房 68平 诚意出售,430.0,62473,槟榔花园,思明,2,68.8,南北,1992,"['南北', '满五年', '近地铁']"
带阳台 自住装修 诚心出售 随时看房 可小刀！,568.0,65416,联发欣悦园,湖里,2,86.8,南北,2012,"['南北', '满五年', '近地铁']"
槟榔西里单号区 67平 2室2厅 诚心出售 价格可议,430.0,64103,槟榔西里单号区,思明,2,67.1,南北,1988,"['南北', '满二年', '近地铁']"
万象城 东方瑞士 正规电梯3房2卫 全朝南 格局方正,665.0,73077,东方瑞士,思明,3,91,南,2001,"['南', '满五年', '近地铁', '车位充足']"
吕厝出地铁口 花园社区 配套成熟，豪华大四房,678.0,61247,冠宏花园,湖里,4,110.7,南北,2008,"['南北', '满五年', '近地铁']"
风景如画，尽揽金榜公园，豪华大三房，火车站地铁口，罗宾森广场,769.0,62822,罗宾森璀璨新城(一期),思明,3,122.4,南北,2010,"['南北', '满五年', '近地铁', '车位充足']"
地铁口 电梯房 音乐家生活广场 满二 精装修 采光好,688.0,73646,音乐家生活广场,思明,3,93.4,南北,2002,"['南北', '满二年', '近地铁']"
地铁口 振华大厦 全明自住两房 降价换房诚售 看房方便,425.0,54579,振华大厦,湖里,2,77.9,西北,2003,"['西北', '满五年', '近地铁']"
近地铁口，永升新城，87平南北通透两房，好改三房，小区中庭,348.0,40000,永升新城,湖里,2,87,南北,2002,"['南北', '满五年', '近地铁']"
磐基旁 电业花园 正规全明大4房南北边套双阳台 带天台,478.0,60568,电业花园,思明,4,78.9,南北,1991,"['南北', '满五年', '近地铁']"
鑫塔水尚 豪装两房 轻松改三 万科物业,600.0,51645,鑫塔水尚,思明,2,116.2,西,2014,"['西', '有电梯', '近地铁', '车位充足']"
东浦路急售！建发花园(二期)508.00万元多层[17层],508.0,56919,建发花园(二期),思明,2,89.3,南北,2000,"['南北', '满二年', '近地铁']"
前埔南区文兴东二里3室2厅1卫82.19平,488.0,59375,前埔南区文兴东二里,思明,3,82.2,南北,1999,"['南北', '满五年', '近地铁']"
文灶地铁口旁 古龙综合楼 98年建成小区 南北向三房,668.0,63814,古龙综合楼,思明,3,104.7,南北,1998,"['南北', '满二年', '近地铁']"
一看就爱上！高端小区 鹭江新成 全明大两房 钥匙在手,568.0,71899,鹭江新城(一期),思明,2,79,南北,2000,"['南北', '满二年', '近地铁', '车位充足']"
满二年 东西向 二室二厅 精装修 火车站,680.0,77414,绿家园,思明,2,87.8,东西,2004,"['东西', '近地铁', '绿化率高']"
火车站 08年建发品质 电梯高层 精装三房全明 南北通透,618.0,65432,时尚国际,思明,3,94.5,南北,2006,"['南北', '满二年', '近地铁']"
文园新村 电梯次顶楼 两梯两户 南北通透 近地铁口BRT,870.0,90456,文园新村,思明,3,96.2,南北,2010,"['南北', '满二年', '近地铁']"
3号线华荣路口站 电梯精装三房 带品牌橱柜 业主自住装修 急,430.0,52344,欣华花园,湖里,3,82.2,东,2002,"['东', '满二年', '近地铁']"
一梯二户南北双阳台 中间楼层 小区中庭,518.0,54122,前埔北区一里,思明,3,95.7,南北,2001,"['南北', '满五年', '近地铁']"
前埔店上西里 正看中庭 精装三房 中间楼层 价格可谈 南北向,468.0,50920,前埔南小区(店上西里),思明,3,91.9,南北,2001,"['南北', '满五年', '配套成熟']"
刚需捡漏再降10万 地铁BRT旁全明户型 电梯 火车站莲坂,518.0,48878,莲富大厦,思明,3,106,南北,2000,"['南北', '满五年', '近地铁', '车位充足']"
满二年 东南向 三室二厅 精装修,980.0,77422,华侨海景城,思明,3,126.6,东南,2005,"['东南', '有电梯', '近地铁']"
（使用两层 BRT地铁旁 咫尺金榜公园）可改三房两卫 厦禾路,405.0,74476,九龙城,思明,3,54.4,南,2000,"['南', '满五年', '近地铁']"
直降31万，滨北小套楼中楼，2室2厅， 西南朝向，有钥匙,495.0,70253,福达里,思明,2,70.5,西南,2011,"['西南', '满二年', '近地铁']"
送储藏间！三面采光（精装 全明 3房）文灶 地铁口旁,418.0,55365,木材公司宿舍,思明,3,75.5,南北,1995,"['南北', '满五年', '近地铁', '多人关注']"
满五年 东南向 二室二厅 精装修,470.0,60622,福津大街三节点,思明,2,77.5,东南,2001,"['东南', '近地铁']"
省优滨东，地铁换乘站万象城旁，南北通透，全明大2房,429.0,61612,湖滨南路272号小区,思明,2,69.6,南北,1999,"['南北', '满五年', '近地铁']"
满五年 南北向 三室一厅 简单装修 槟榔,540.0,70829,槟榔西里双号区,思明,3,76.2,南北,1987,"['南北', '近地铁']"
